Date,Company,Sector,Open,High,Low,Close,Volume,Market_Cap,PE_Ratio,Dividend_Yield,Volatility,Sentiment_Score,Trend,Is_Bullish,Bullish_Group,Daily_Return
2022-03-01,AMD,Technology,94.8991052347836,96.22558918008023,92.10962807949193,94.8991052347836,149299,848279967371.4166,23.34557097541568,2.7335026027838416,0.0143045673903943,-0.2054570543190805,bullish,1,1,0.04468545999378235
2022-06-07,AMD,Technology,99.66017350525108,100.78179329001942,97.10811374364413,99.66017350525108,168451,690869672213.195,6.560821793053654,1.5827483263393498,0.0321104947213433,0.2282663523750361,bullish,1,2,0.03783081974049511
2022-06-13,AMD,Technology,97.9678192487803,99.2679417269822,96.94210004832148,97.9678192487803,143264,759276809693.311,17.992248286149938,4.253401303024232,0.0393562150800747,0.7028114957829479,bullish,1,3,0.023992070292487892
2022-07-17,AMD,Technology,87.50259292096464,89.45645735576139,85.34775535530109,87.50259292096464,192483,572855331674.0322,19.62964768546695,2.250582632374055,0.0404670350485465,-0.7517852645724452,stable,0,4,0.04814071539849934
2022-09-12,AMD,Technology,97.23406874836796,100.08859332369089,95.8903575083884,97.23406874836796,141412,384706520879.7583,31.511865967629607,1.073339319862684,0.0111137563030965,0.8875562227367382,stable,0,5,0.043781626478295525
2022-09-16,AMD,Technology,97.04104931570588,98.9354046594313,95.35776759134852,97.04104931570588,136416,800968917442.7452,11.85442844054216,1.6352232207590889,0.0293085389230773,0.2334254152935519,stable,0,6,0.03751804555046406
2022-10-28,AMD,Technology,108.8095058184962,111.57851405984546,105.67428807462028,108.8095058184962,76641,662449898096.458,8.876195586163533,1.0310870254206994,0.0425373792929705,-0.929569652948953,bullish,1,7,0.05587192582793653
2023-02-18,AMD,Technology,112.31933327659026,115.00971014088904,109.99322740380109,112.31933327659026,199143,248292415647.7718,38.45385693022633,2.1954778262541423,0.0124441867047852,0.9936183613622178,bullish,1,8,0.04560719651103354
2023-03-25,AMD,Technology,110.76211244634476,112.79877921387646,109.2971666337144,110.76211244634476,57543,358443549577.3431,21.441031704673932,1.0397817964469498,0.0218187169850703,0.922829080847278,stable,0,9,0.03203754212492032
2023-06-28,AMD,Technology,123.08945437205324,125.49947341716546,120.31595000424392,123.08945437205324,178148,10021373725.420702,36.13782115561482,2.0762048616702025,0.0180736734145503,-0.6358737422362892,bullish,1,10,0.043082595555607596
2023-10-20,AMD,Technology,118.84329861087402,122.18901410122852,116.41137913387584,118.84329861087402,131317,542821301314.75854,20.95927465159779,1.877205548339563,0.0464783833679853,0.0937623475748659,bearish,0,11,0.049631187349032824
2023-11-14,AMD,Technology,121.06780901012492,123.06176619110067,119.15985142401055,121.06780901012492,193087,167165276135.39902,33.69292317446546,0.3741060259748652,0.0350787373811486,0.6135471392975347,stable,0,12,0.032745213429360556
2023-11-26,AMD,Technology,116.55252611290118,118.22807206154022,113.65383570443883,116.55252611290118,165359,522958559475.60223,27.151721573745196,4.1330917275124435,0.0335861398060619,0.1700703374373238,bullish,1,13,0.0402470917831305
2023-12-06,AMD,Technology,122.78474459718942,125.87751723471844,119.1556121809539,122.78474459718942,129252,87951923625.07098,30.31023202626203,1.3568298176950528,0.0341935771745032,-0.3685131950319258,stable,0,14,0.056412827987962696
2024-04-16,AMD,Technology,112.76890808545475,115.15257348800873,110.44650896254184,112.76890808545475,55287,23870931151.144127,33.81583004372513,3.053853653425193,0.0239918424723036,0.577854047897759,bearish,0,15,0.04260944569160585
2024-06-05,AMD,Technology,112.01991775807792,114.4010413835034,109.21997168083988,112.01991775807792,91157,229665710241.767,37.808245335751224,1.1999468193497875,0.0212557192868865,0.0899645562000359,stable,0,16,0.04743701745138266
2024-07-28,AMD,Technology,128.0702843270973,129.63682448384915,126.01999299037644,128.0702843270973,105318,253805374367.98376,28.602214265821413,2.802899045005243,0.0173968118986857,0.9596070707618762,bullish,1,17,0.028700457821394396
2022-01-07,Adobe,Technology,100.55008155840126,102.7520348103926,98.64086335204014,100.55008155840126,104886,185278408547.43723,22.36167435379603,1.9316158653823297,0.0471240734203914,0.0073772186564777,bullish,1,1,0.041678177974579025
2022-01-29,Adobe,Technology,99.49526099585704,101.31700608474192,97.57287015679272,99.49526099585704,115725,753492974526.7034,8.215481069851565,2.1505143826490003,0.0186782498345551,0.103872722120933,bearish,0,2,0.03837271489434142
2022-04-26,Adobe,Technology,91.7873550514226,94.10307444796976,89.85682270179545,91.7873550514226,73419,422614023491.13666,11.071802599308503,4.252358073804189,0.0114372072874389,0.2384086345843097,bearish,0,3,0.04725575218997214
2022-07-06,Adobe,Technology,82.53312734521091,83.7014178150259,80.20319552947677,82.53312734521091,143384,455688541351.11993,39.28427941336149,3.9243091147944007,0.0362554343753906,0.6432831395579106,bullish,1,4,0.0436169938423893
2022-09-30,Adobe,Technology,101.70046373453776,103.86135121347056,98.74512769341987,101.70046373453776,104045,35830295073.59109,30.64223321452915,3.269970461699006,0.0435928140881395,0.0344188553870588,bearish,0,5,0.05181241484577688
